Samskrit Word	Samskrit_GenderTelugu	Telugu_Word	Telugu _Gender																						
BIma	puM	BImudu	puM																						
Esvarya	napuM	ESvaryaM	napuM																						
ISvara	puM	ISvarudu	puM																						
pramuKa	puM:napuM	pramuKaM	napuM:napuM																						
ABaraNa	napuM	ABaraNaM	napuM																						
ABAsa	puM:napuM	prakASaM	napuM:napuM																						
aBAva	puM	aBAvaM^lekapovadaM	napuM																						
aBaya	napuM:puM	aBayaM^BayaM_lekapovadaM	napuM:napuM																						
aBi-asUyaka	puM:napuM	asUya_kalavAdu	puM:puM																						
aBiBava	puM:napuM	wiraskAraM^parABavaM	napuM:napuM																						
aBikrama	puM	prAraMBaM	napuM																						
aBimAna	puM	aBimAnaM^prema	napuM																						
aBimuKa	puM:napuM	aBimuKaM^exuruga	napuM:napuM																						
aBipravqwwa	puM	paniyaMxu_nimagnudu	puM																						
aBirakRa	napuM:puM	rakRiMpabadu	napuM:napuM																						
aBiRvafga	puM	aBiruci^awyAsakwi^sparSa	napuM																						
aBisanXa	puM	vaFcakudu^niMxakudu	puM																						
aBra	napuM	AkASaM^meGaM	napuM																						
aByanwara	napuM	maXya^lopala	napuM																						
aByAsa	puM	aByAsiMcadaM^malYlYi_malYilYi_ceyadaM	napuM																						
aByAsa	puM	aByAsaM^alavAtu	napuM																						
aByasana	napuM	aByAsaM	napuM																						
aByuwWAna	napuM	aBivqxXi^perugadaM	napuM																						
acalA	swrI:vi	acalamEnaxi^BUmi^parvawaM	napuM																						
acala	puM:napuM:vi	acalamEnaxi^BUmi^parvawaM	napuM:napuM																						
AcAra	puM	AcAraM	napuM																						
acara	puM:napuM:vi	sWiraM^acaraM	napuM:napuM																						
AcAra	puM	AcaraNaM^vyavahAraM	napuM																						
AcArya	puM	AcAryudu	puM																						
acinwya	puM:napuM:vi	AlociMcalenixi	napuM:napuM																						
acira	napuM	aciraM^cirakAlaM_kAnixi	napuM																						
acyuwa	puM:vi	ViRNuvu	puM																						
acyuwa	puM:vi	sWiramEnaxi	napuM																						
afga	napuM:puM	aMgaM	napuM:napuM																						
aFjali	swrI	aFjali^cewulu_jodiMci_namaskariMcuta	napuM																						
aGa	napuM:puM	pApaM^aparAXaM	napuM:napuM																						
Agama	puM	Agama	napuM																						
Agama	puM	Agama_SAswraM	napuM																						
agni	puM	agni	napuM																						
agra	napuM:puM	agraM^eVxuta^muKyaM^moVxatixi	napuM:napuM																						
agra	napuM:puM	moVxatixi^muKyaM	napuM:napuM																						
ahafkAra	puM	ahaMkAraM	napuM																						
ahafkqwa	puM	ahaMkAraM_kalavAdu	puM																						
ahaH	napuM	pagalu	napuM																						
vAxin	puM:napuM	vakwa	puM:napuM																						
ahan	napuM	xinaM^sUryudu^pagalu	napuM																						
AhAra	napuM:puM	AhAraM^BojanaM	napuM:napuM																						
AhAra	napuM:puM	AhAraM^apaharaNaM	napuM:napuM																						
Ahava	puM	yuxXaM^yajFaM	napuM																						
ahiMsA	swrI	ahiMsa	napuM																						
aja	puM	janmiMcanixi	napuM																						
ajasram	puM:napuM	eVllappudu^niwyaM	napuM:napuM																						
ajaya	puM:napuM	parAjayaM^ajayaM	napuM:napuM																						
ajFa	puM	mUrKudu^ajFAni	puM																						
ajFAna	napuM	ajFAnaM	napuM																						
sammoha	puM	AkarRaNa	napuM																						
ajina	puM:napuM	carmaM	napuM:napuM																						
Ajya	napuM	AjyaM^neVyyi	napuM																						
AkAfkRin	puM:napuM	AsiMcuvAdu^koruvAdu	puM:puM																						
akAra	puM	akAraM	napuM																						
akAra	puM	pani_ceyanivAdu	puM																						
akArya	napuM:puM	ceVddapani	napuM																						
AkASa	napuM:puM	AkASaM	napuM:napuM																						
aKila	napuM	samagraM^aMwayu^saMpUrNaM	napuM																						
Akqwi	swrI	Akqwi^rUpaM	napuM																						
akRara	napuM	akRaraM	napuM																						
akRaya	puM	kRINiMcanixi^kRayaM_lenixi	napuM																						
akRi	napuM	newraM^kannu	napuM																						
akroXa	puM	kroXaM_lenivAdu	puM																						
Akula	napuM	kRoBa^AkulaM	napuM																						
alasa	puM:napuM:vi	somari	puM:puM																						
Alasya	napuM	alasawvaM	napuM																						
