Samskrit Word,Samskrit_GenderTelugu,Telugu_Word,Telugu _Gender
ADya,swrI,Xanikudu,swrI
ASApASa,,ASA_baMXamulu,
Sawa,a,nUru^vaMxa^aneka_viXamuluga,a
ASaya,puM,nivAsa_sWAnaM,puM
AScarya,napuM:puM,AScaryamu,napuM:puM
AScaryavaw,,AScaryamu,
ASu,napuM,wvaraga^veVMtane,napuM
AXipawya,napuM,Axipawyamu,napuM
A_paw2,,,
AcAra,puM,AcAramu,puM
AcArya,puM,AcAryudu,puM
upAsana,,seva^ArAXana^upAsanamu,
Acaraw,,AcaraNa,*
Af-brahman-Buvana,,,*
Af_KyA1,,,
Af_Sri1,,,
Af_Svas1_Nic,,,
Af_XA1,,,
Af_car1,,,
Af_gam1,,,
Af_pUr1,,,
Af_pax1,,,
Af_raB1,,,
Af_sWA1,,,
Af_sax1,,,
Af_viR2,,,
Af_viS1,,,
Af_vq2,,,
Af_vqw1,,,
Af_xA3,,,
Agama,puM,Agama,puM
apAyin,,apAyamu,
AgamApAyin,,ASaSvawamEnaxi^janana_maraNaM_kalaxi,
AhAra,napuM:puM,AhAramu^Bojanamu,napuM:puM
Ahava,puM,yuxXamu^yajFamu,puM
Aho,,Aho^o,
Ajya,napuM,Ajyamu^neVyyi,napuM
AkASa,napuM:puM,AkASamu,napuM:puM
sWiwa,napuM:puM,unnaxi^niScaludu,napuM:puM
Ap1,,,
ApUryamANa,puM,aMwata_vyApiMcunaxi,puM
ArAXana,napuM,ArAXana,napuM
AramBa,napuM:puM,AraMBamu,napuM:puM
Arjava,napuM,saralYwa^nijAyiwi,napuM
ArurukRu,puM,unnawi_ceVMxavaleVnani_icca_kalavAdu,puM
Arwa,napuM:puM,xuHKamu,napuM:puM
As1,,,
AsWiwa,puM,vasiMcina,puM
Asakwa,napuM:puM,sWirudu^Asakwudu,napuM:puM
manas,napuM,manassu,napuM
Asana,napuM,Asanamu,napuM
AsurI,swrI,,swrI
Asura,puM,Asura^rAkRasa,puM
niScaya,puM,niScayamu^nirNayamu,puM
Aswikya,napuM,AswikawvaM,napuM
AveSiwa-cewas,,,
Avqwwi,swrI,prayAyamu,swrI
AwawAyin,puM,SaswraprahAramu_ceyuvAdu,puM
AwmA,,Awma,
Opamya,,samarUpamu,
rawi,swrI,anurAgamu,swrI
Awman,puM,Awma,puM
Awman-BAva-sWa,,,
SuxXi,swrI,SuxXi,swrI
prasAxa,puM,prsAxamu^prasannamu^anugrahamu,puM
kAraNa,napuM,kAraNamu^sAXanamu,napuM
mAyA,swrI,mAya,swrI
para,napuM,para^iwara,napuM
xeha,napuM:puM,xehamu^SarIramu^menu,napuM:puM
saMsWa,napuM:puM,saMsWa^vyavasWa,napuM:puM
saMyama,puM,saMyamanamu^iMxriya_nigrahamu,puM
yoga,puM:puM,yoga^yogamu^XyAnamu,puM:puM
agni,puM,agni,puM
samBAviwa,napuM:puM,samBAviwa^sammAniwa^gOraviwa,napuM:puM
vaSya,napuM:puM,vaSamEnaxi,napuM:puM
viBUwi,swrI,viBUwi^Esvaryamu,swrI
viSuxXi,swrI,viSuxXi^SuxXi,swrI
vinigraha,puM,nigrahamu^niyaMwramu,puM
wqpwa,napuM:puM,wqpwi,napuM:puM
Awman-yoga,,,
Awmavaw,napuM:puM,svasWa_ciwwudu,napuM:puM
Awyanwika,puM,awyaXikamu^aMwamu_lenixi,puM
AxarSa,puM,AxarSamu,puM
Axi,puM,Axi,puM
anwavaw,puM,aMwamu,puM
karwq,puM,sqRti_karwa^ceyuvAdu,puM
xeva,puM,xevudu^xevawa,puM
Axiwya,puM,Axiwya^Axiwyudu,puM
gawa,,gawa^gawiMcinaxi,
varNa,napuM,varNamu^raMgu,napuM
Axiwyavaw,,Axiwyudi_lAgA,
Axya,napuM:puM:swrI,Axyamu,napuM:puM:swrI
AyuXa,napuM,AyuXamu,napuM
Ayus,napuM,Ayuvu^jIviwa_kAlamu,napuM
sawwva,napuM,sawwvamu^Sakwi,napuM
bala,napuM:puM,balamu,napuM:puM
Arogya,,Arogyamu,
suKa,napuM:puM,suKamu,napuM:puM
prIwi,swrI,prIwi,swrI
vivarXana,,varXanamu,
BAR1,,,
BARA,swrI,BARa,swrI
BArawa,napuM,Barawa^Barawamu,napuM
BAs,,prakASamu^kAMwi,
BAs1_Nic,,,
BAsvaw,puM,prakASiMcuta,puM
BAva,puM,Bava^manovikAramu,puM
saMSuxXi,,SuxXi^svacCaM,
samanviwa,napuM:puM,samanviwa^sambaxXa,napuM:puM
BAvanA,swrI,Bavana^Alocana,swrI
BEkRya,napuM,BikRa^BikRA_samUhamu,napuM
BIRma,napuM:puM,BIRmudu^BayaMkara,napuM:puM
aBirakRiwa,napuM:puM:swrI,rakRiMpabadina,napuM:puM:swrI
xroNa,puM:napuM,xroNudu,puM:napuM
pramuKawa,,pramuKawvamu,
Bima,,Bimudu,
arjuna,puM,arjunudu,puM
sama,napuM:puM,samAnamu,napuM:puM
karman,napuM,karma^pani^ceyuta,napuM
BIwa,napuM:puM,Biwa^Bayamu,napuM:puM
BIwa-BIwa,,,
BU,,BU^Bumi,
BU1,,,
BU1_Nic,,,
BUmi,swrI,Bumi,swrI
BUwa,puM:napuM,Buwa^prANi,puM:napuM
Axi,puM,Axi^moVxalagu,puM
uxBava,puM,uwpawwi^OxAryaM,puM
kara,puM,kara^ceyuvAdu,puM
BUwa-BAvana,,,
Barwq,puM,Barwa^rAju^praBuvu,puM
Bqw,,BariMcuvAdu^kaluguvAdu,
ISa,puM,ISa^ISvarudu^sqRtikarwa,puM
gaNa,puM,gaNa^gaNamu,puM
grAma,puM,grAmamu,puM
ijya,,guruvu^xevawa^pUja,
mahaw,napuM:puM,mahawwu^goppaxi,napuM:puM
Isvara,,Isvarudu,* Is it Isvara
pqWak,,veru^BinnaM^prawyekamu,
prakqwi,swrI,prakqwi^jIvamu^svaBAvamu,swrI
mokRa,puM,mokRamu,puM
sWa,napuM:puM,sWiwi^sWiwi_Siludu,napuM:puM
sarga,puM,sargamu^sqRti,puM
viSeRa,napuM:puM,viSeRa^awyaMwa,napuM:puM
safGa,,saMGamu^samUhamu,
